! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0013580 0.0000002
0.9811577 0.0042701
0.9609663 0.0085878
0.9406951 0.0125092
0.9202993 0.0157339
0.8997742 0.0179783
0.8791604 0.0190185
0.8585214 0.0188983
0.8379185 0.0178541
0.8173647 0.0160291
0.7968732 0.0134918
0.7764592 0.0103113
0.7561389 0.0065638
0.7359255 0.0023351
0.7158088 -0.0022975
0.6957699 -0.0072581
0.6757905 -0.0124669
0.6558550 -0.0178543
0.6359459 -0.0233432
0.6160501 -0.0288721
0.5961485 -0.0343782
0.5762224 -0.0397990
0.5562610 -0.0450840
0.5362523 -0.0501783
0.5161869 -0.0550364
0.4960569 -0.0596196
0.4758538 -0.0638852
0.4555772 -0.0677965
0.4352305 -0.0713205
0.4148185 -0.0744288
0.3943459 -0.0770906
0.3738191 -0.0792892
0.3532420 -0.0809881
0.3326249 -0.0821716
0.3119829 -0.0827768
0.2913350 -0.0828146
0.2706992 -0.0822192
0.2500946 -0.0809720
0.2295385 -0.0790627
0.2090501 -0.0764840
0.1886557 -0.0732377
0.1683824 -0.0693190
0.1482545 -0.0647283
0.1282992 -0.0594465
0.1085518 -0.0534312
0.0890552 -0.0466184
0.0699023 -0.0388996
0.0512420 -0.0300914
0.0333176 -0.0198457
0.0167415 -0.0075785
0.0031524 0.0078907
-0.0007717 0.0275735
0.0087419 0.0457263
0.0232607 0.0603377
0.0399668 0.0724671
0.0578300 0.0827700
0.0764544 0.0916974
0.0955861 0.0994927
0.1150648 0.1063256
0.1348155 0.1123435
0.1547732 0.1176451
0.1748864 0.1223052
0.1951249 0.1263923
0.2154643 0.1299495
0.2358812 0.1330104
0.2563600 0.1355918
0.2768899 0.1377136
0.2974625 0.1393761
0.3180683 0.1405940
0.3386986 0.1413622
0.3593443 0.1416702
0.3799952 0.1415681
0.4006411 0.1409964
0.4212719 0.1399998
0.4418774 0.1385737
0.4624484 0.1367393
0.4829774 0.1345190
0.5034623 0.1319498
0.5239062 0.1290735
0.5443128 0.1259328
0.5646859 0.1225687
0.5850281 0.1190160
0.6053415 0.1153072
0.6256277 0.1114615
0.6458901 0.1074931
0.6661322 0.1034212
0.6863548 0.0992524
0.7065601 0.0949994
0.7267502 0.0906749
0.7469258 0.0862845
0.7670895 0.0818405
0.7872428 0.0773491
0.8073875 0.0728196
0.8275255 0.0682593
0.8476587 0.0636786
0.8677883 0.0590818
0.8879171 0.0544816
0.9080442 0.0498742
0.9281696 0.0452594
0.9482862 0.0406059
0.9682898 0.0355033
0.9856871 0.0249113
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	-7.206300 
-179.000000	0.047265  	0.001000  	-7.206300 
-178.000000	0.094530  	0.001000  	-7.206300 
-177.000000	0.141796  	0.001000  	-7.206300 
-176.000000	0.189061  	0.001000  	-7.206300 
-175.000000	0.236326  	0.001098  	-7.206300 
-174.000000	0.283591  	0.002467  	-7.206300 
-173.000000	0.330857  	0.005936  	-7.206300 
-172.000000	0.378122  	0.012205  	-7.206300 
-171.000000	0.425387  	0.019536  	-7.206300 
-170.000000	0.472652  	0.027345  	-7.206300 
-169.000000	0.519917  	0.036292  	-7.206300 
-168.000000	0.567183  	0.045887  	-7.206300 
-167.000000	0.614448  	0.056130  	-7.206300 
-166.000000	0.661713  	0.067457  	-7.206300 
-165.000000	0.708978  	0.079226  	-7.206300 
-164.000000	0.756243  	0.091959  	-7.206300 
-163.000000	0.803509  	0.105368  	-7.206300 
-162.000000	0.850774  	0.119284  	-7.206300 
-161.000000	0.898039  	0.134258  	-7.206300 
-160.000000	0.945304  	0.149625  	-7.206300 
-159.000000	0.992570  	0.165769  	-7.206300 
-158.000000	1.039835  	0.182579  	-7.206300 
-157.000000	1.087100  	0.199760  	-7.206300 
-156.000000	1.063246  	0.218783  	-7.206300 
-155.000000	1.039392  	0.237806  	-7.206300 
-154.000000	1.015538  	0.256830  	-7.206300 
-153.000000	0.991684  	0.275853  	-7.206300 
-152.000000	0.969294  	0.295374  	-7.206300 
-151.000000	0.952274  	0.316719  	-7.206300 
-150.000000	0.935254  	0.338064  	-7.206300 
-149.000000	0.918234  	0.359410  	-7.206300 
-148.000000	0.901214  	0.380755  	-7.206300 
-147.000000	0.885570  	0.402842  	-7.206300 
-146.000000	0.871760  	0.425917  	-7.206300 
-145.000000	0.857951  	0.448993  	-7.206300 
-144.000000	0.844142  	0.472069  	-7.206300 
-143.000000	0.830333  	0.495145  	-7.206300 
-142.000000	0.817305  	0.518922  	-7.206300 
-141.000000	0.804713  	0.543089  	-7.206300 
-140.000000	0.792120  	0.567256  	-7.206300 
-139.000000	0.779527  	0.591423  	-7.206300 
-138.000000	0.766934  	0.615590  	-7.206300 
-137.000000	0.754393  	0.640118  	-7.206300 
-136.000000	0.741861  	0.664707  	-7.206300 
-135.000000	0.729329  	0.689296  	-7.206300 
-134.000000	0.716797  	0.713885  	-7.206300 
-133.000000	0.704221  	0.738455  	-7.206300 
-132.000000	0.691082  	0.762785  	-7.206300 
-131.000000	0.677943  	0.787115  	-7.206300 
-130.000000	0.664803  	0.811445  	-7.206300 
-129.000000	0.651664  	0.835775  	-7.206300 
-128.000000	0.638251  	0.859839  	-7.206300 
-127.000000	0.624151  	0.883237  	-7.206300 
-126.000000	0.610051  	0.906635  	-7.206300 
-125.000000	0.595952  	0.930033  	-7.206300 
-124.000000	0.581852  	0.953431  	-7.206300 
-123.000000	0.567206  	0.976039  	-7.206300 
-122.000000	0.552012  	0.997858  	-7.206300 
-121.000000	0.536819  	1.019677  	-7.206300 
-120.000000	0.521626  	1.041496  	-7.206300 
-119.000000	0.506432  	1.063315  	-7.206300 
-118.000000	0.490479  	1.083576  	-7.206300 
-117.000000	0.474223  	1.103213  	-7.206300 
-116.000000	0.457966  	1.122850  	-7.206300 
-115.000000	0.441709  	1.142488  	-7.206300 
-114.000000	0.425453  	1.162125  	-7.206300 
-113.000000	0.408355  	1.179233  	-7.206300 
-112.000000	0.391192  	1.196147  	-7.206300 
-111.000000	0.374030  	1.213060  	-7.206300 
-110.000000	0.356867  	1.229974  	-7.206300 
-109.000000	0.339612  	1.246432  	-7.206300 
-108.000000	0.321801  	1.260157  	-7.206300 
-107.000000	0.303990  	1.273881  	-7.206300 
-106.000000	0.286179  	1.287606  	-7.206300 
-105.000000	0.268367  	1.301330  	-7.206300 
-104.000000	0.250445  	1.313781  	-7.206300 
-103.000000	0.232321  	1.323939  	-7.206300 
-102.000000	0.214197  	1.334097  	-7.206300 
-101.000000	0.196073  	1.344256  	-7.206300 
-100.000000	0.177949  	1.354414  	-7.206300 
-99.000000	0.159872  	1.362376  	-7.206300 
-98.000000	0.141831  	1.368691  	-7.206300 
-97.000000	0.123790  	1.375006  	-7.206300 
-96.000000	0.105749  	1.381320  	-7.206300 
-95.000000	0.087708  	1.387635  	-7.206300 
-94.000000	0.070077  	1.390796  	-7.206300 
-93.000000	0.052558  	1.393097  	-7.206300 
-92.000000	0.035038  	1.395398  	-7.206300 
-91.000000	0.017519  	1.397699  	-7.206300 
-90.000000	0.000000  	1.400000  	-7.206300 
-89.000000	-0.017519 	1.397699  	-7.206300 
-88.000000	-0.035038 	1.395398  	-7.206300 
-87.000000	-0.052558 	1.393097  	-7.206300 
-86.000000	-0.070077 	1.390796  	-7.206300 
-85.000000	-0.087708 	1.387635  	-7.206300 
-84.000000	-0.105749 	1.381320  	-7.206300 
-83.000000	-0.123790 	1.375006  	-7.206300 
-82.000000	-0.141831 	1.368691  	-7.206300 
-81.000000	-0.159872 	1.362376  	-7.206300 
-80.000000	-0.177949 	1.354414  	-7.206300 
-79.000000	-0.196073 	1.344256  	-7.206300 
-78.000000	-0.214197 	1.334097  	-7.206300 
-77.000000	-0.232321 	1.323939  	-7.206300 
-76.000000	-0.250445 	1.313781  	-7.206300 
-75.000000	-0.268367 	1.301330  	-7.206300 
-74.000000	-0.286179 	1.287606  	-7.206300 
-73.000000	-0.303990 	1.273881  	-7.206300 
-72.000000	-0.321801 	1.260157  	-7.206300 
-71.000000	-0.339612 	1.246432  	-7.206300 
-70.000000	-0.356867 	1.229974  	-7.206300 
-69.000000	-0.374030 	1.213060  	-7.206300 
-68.000000	-0.391192 	1.196147  	-7.206300 
-67.000000	-0.408355 	1.179233  	-7.206300 
-66.000000	-0.425453 	1.162125  	-7.206300 
-65.000000	-0.441709 	1.142488  	-7.206300 
-64.000000	-0.457966 	1.122850  	-7.206300 
-63.000000	-0.474223 	1.103213  	-7.206300 
-62.000000	-0.490479 	1.083576  	-7.206300 
-61.000000	-0.506432 	1.063315  	-7.206300 
-60.000000	-0.521626 	1.041496  	-7.206300 
-59.000000	-0.536819 	1.019677  	-7.206300 
-58.000000	-0.552012 	0.997858  	-7.206300 
-57.000000	-0.567206 	0.976039  	-7.206300 
-56.000000	-0.581852 	0.953431  	-7.206300 
-55.000000	-0.595952 	0.930033  	-7.206300 
-54.000000	-0.610051 	0.906635  	-7.206300 
-53.000000	-0.624151 	0.883237  	-7.206300 
-52.000000	-0.638251 	0.859839  	-7.206300 
-51.000000	-0.651664 	0.835775  	-7.206300 
-50.000000	-0.664803 	0.811445  	-7.206300 
-49.000000	-0.677943 	0.787115  	-7.206300 
-48.000000	-0.691082 	0.762785  	-7.206300 
-47.000000	-0.704221 	0.738455  	-7.206300 
-46.000000	-0.716797 	0.713885  	-7.206300 
-45.000000	-0.729329 	0.689296  	-7.206300 
-44.000000	-0.741861 	0.664707  	-7.206300 
-43.000000	-0.754393 	0.640118  	-7.206300 
-42.000000	-0.766934 	0.615590  	-7.206300 
-41.000000	-0.779527 	0.591423  	-7.206300 
-40.000000	-0.792120 	0.567256  	-7.206300 
-39.000000	-0.804713 	0.543089  	-7.206300 
-38.000000	-0.817305 	0.518922  	-7.206300 
-37.000000	-0.830333 	0.495145  	-7.206300 
-36.000000	-0.844142 	0.472069  	-7.206300 
-35.000000	-0.857951 	0.448993  	-7.206300 
-34.000000	-0.871760 	0.425917  	-7.206300 
-33.000000	-0.885570 	0.402842  	-7.206300 
-32.000000	-0.901214 	0.380755  	-7.206300 
-31.000000	-0.918234 	0.359410  	-7.206300 
-30.000000	-0.935254 	0.338064  	-7.206300 
-29.000000	-0.952274 	0.316719  	-7.206300 
-28.000000	-0.969294 	0.295374  	-7.206300 
-27.000000	-0.991684 	0.275853  	-7.206300 
-26.000000	-1.015538 	0.256830  	-7.206300 
-25.000000	-1.039392 	0.237806  	-7.206300 
-24.000000	-1.063246 	0.218783  	-7.206300 
-23.000000	-1.087100 	0.199760  	-7.206300 
-22.000000	-1.060415 	0.186150  	-7.206300 
-21.000000	-1.033731 	0.172540  	-7.206300 
-20.000000	-1.007046 	0.158930  	-7.206300 
-19.000000	-0.980362 	0.145320  	-7.206300 
-18.000000	-0.953677 	0.131710  	-7.206300 
-17.000000	-0.926992 	0.118100  	-7.206300 
-16.000000	-0.900308 	0.104490  	-7.206300 
-15.000000	-0.873623 	0.090880  	-7.206300 
-14.000000	-0.846938 	0.077270  	-7.206300 
-13.000000	-0.820254 	0.063660  	-7.206300 
-12.000000	-0.793569 	0.050050  	-7.206300 
-11.000000	-0.766885 	0.036440  	-5.079438 
-10.000000	-0.740200 	0.022830  	-2.598100 
-9.000000 	-0.569000 	0.023880  	-2.003500 
-8.000000 	-0.396200 	0.030200  	-1.448300 
-7.000000 	-0.248000 	0.032390  	-1.135800 
-6.000000 	-0.134000 	0.030790  	-1.018600 
-5.000000 	0.007400  	0.025560  	-0.927100 
-4.000000 	0.135900  	0.024700  	-0.826500 
-3.000000 	0.263900  	0.024070  	-0.788800 
-2.000000 	0.393800  	0.023690  	-0.870200 
-1.000000 	0.523600  	0.023570  	-0.954300 
0.000000  	0.650400  	0.023590  	-1.044200 
1.000000  	0.776500  	0.023750  	-1.144000 
