! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0012967 -0.0266513
0.9808509 -0.0216420
0.9604315 -0.0165110
0.9399222 -0.0117744
0.9192388 -0.0078603
0.8983627 -0.0051923
0.8773446 -0.0041021
0.8563021 -0.0044817
0.8353095 -0.0059886
0.8143974 -0.0084316
0.7936036 -0.0117138
0.7729420 -0.0157347
0.7524130 -0.0203991
0.7320159 -0.0256065
0.7117429 -0.0312589
0.6915708 -0.0372642
0.6714757 -0.0435358
0.6514338 -0.0499888
0.6314227 -0.0565411
0.6114228 -0.0631193
0.5914071 -0.0696493
0.5713543 -0.0760693
0.5512469 -0.0823109
0.5310709 -0.0883156
0.5108122 -0.0940245
0.4904601 -0.0993910
0.4700027 -0.1043640
0.4494390 -0.1088960
0.4287766 -0.1129456
0.4080232 -0.1164717
0.3871870 -0.1194369
0.3662758 -0.1218047
0.3452970 -0.1235337
0.3242690 -0.1245511
0.3032212 -0.1247906
0.2821814 -0.1241738
0.2611856 -0.1226575
0.2402789 -0.1202075
0.2195023 -0.1168288
0.1988955 -0.1125341
0.1784956 -0.1073427
0.1583384 -0.1012758
0.1384624 -0.0943405
0.1189151 -0.0865295
0.0997584 -0.0778095
0.0810670 -0.0681113
0.0629803 -0.0573346
0.0457097 -0.0453279
0.0295683 -0.0318228
0.0152052 -0.0164650
0.0038830 0.0012327
-0.0013000 0.0214651
0.0038944 0.0416640
0.0154515 0.0591834
0.0300946 0.0743028
0.0465360 0.0874350
0.0641522 0.0989491
0.0825856 0.1091100
0.1016120 0.1181009
0.1210946 0.1260729
0.1409288 0.1331357
0.1610320 0.1393744
0.1813548 0.1448612
0.2018561 0.1496452
0.2224976 0.1537684
0.2432547 0.1572543
0.2641071 0.1601256
0.2850360 0.1623951
0.3060227 0.1640739
0.3270472 0.1651813
0.3480903 0.1657696
0.3691397 0.1658258
0.3901856 0.1654159
0.4112181 0.1645313
0.4322275 0.1631861
0.4532047 0.1614010
0.4741401 0.1591903
0.4950283 0.1565952
0.5158695 0.1536469
0.5366668 0.1503906
0.5574223 0.1468638
0.5781398 0.1431122
0.5988202 0.1391665
0.6194671 0.1350596
0.6400850 0.1308104
0.6606774 0.1264388
0.6812478 0.1219628
0.7017973 0.1173903
0.7223278 0.1127339
0.7428422 0.1080080
0.7633420 0.1032199
0.7838298 0.0983805
0.8043077 0.0934994
0.8247783 0.0885869
0.8452430 0.0836505
0.8657044 0.0787001
0.8861645 0.0737448
0.9066239 0.0687864
0.9270822 0.0638235
0.9475319 0.0588255
0.9678588 0.0533667
0.9856281 0.0425555
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	0.000000  
-179.000000	0.049096  	0.001000  	0.040000  
-178.000000	0.098192  	0.001000  	0.080000  
-177.000000	0.147288  	0.001000  	0.120000  
-176.000000	0.196384  	0.001000  	0.160000  
-175.000000	0.245480  	0.001000  	0.200000  
-174.000000	0.294576  	0.001000  	0.240000  
-173.000000	0.343671  	0.001000  	0.280000  
-172.000000	0.392767  	0.001000  	0.320000  
-171.000000	0.441863  	0.001000  	0.360000  
-170.000000	0.490959  	0.001638  	0.392756  
-169.000000	0.540055  	0.003424  	0.412475  
-168.000000	0.589151  	0.008967  	0.430217  
-167.000000	0.638247  	0.019519  	0.445326  
-166.000000	0.687343  	0.030820  	0.460434  
-165.000000	0.736439  	0.042868  	0.475543  
-164.000000	0.785535  	0.055740  	0.490652  
-163.000000	0.834631  	0.069230  	0.505760  
-162.000000	0.883727  	0.083607  	0.520869  
-161.000000	0.932823  	0.098478  	0.535977  
-160.000000	0.981919  	0.114289  	0.545051  
-159.000000	1.031014  	0.130474  	0.551711  
-158.000000	1.080110  	0.147637  	0.554466  
-157.000000	1.129206  	0.165065  	0.556156  
-156.000000	1.178302  	0.183493  	0.557845  
-155.000000	1.227398  	0.202086  	0.559535  
-154.000000	1.276494  	0.221684  	0.561225  
-153.000000	1.325590  	0.241360  	0.562915  
-152.000000	1.292327  	0.262624  	0.560684  
-151.000000	1.259063  	0.283888  	0.558453  
-150.000000	1.225800  	0.305152  	0.556222  
-149.000000	1.192536  	0.326416  	0.553991  
-148.000000	1.162769  	0.348581  	0.547840  
-147.000000	1.136498  	0.371646  	0.537767  
-146.000000	1.110227  	0.394710  	0.527695  
-145.000000	1.083956  	0.417775  	0.517622  
-144.000000	1.057685  	0.440840  	0.507550  
-143.000000	1.035319  	0.465147  	0.498268  
-142.000000	1.012954  	0.489455  	0.488985  
-141.000000	0.990588  	0.513762  	0.479703  
-140.000000	0.968222  	0.538069  	0.470420  
-139.000000	0.946893  	0.562703  	0.464298  
-138.000000	0.926600  	0.587665  	0.461336  
-137.000000	0.906307  	0.612626  	0.458373  
-136.000000	0.886014  	0.637588  	0.455411  
-135.000000	0.865721  	0.662550  	0.452449  
-134.000000	0.846383  	0.687562  	0.449486  
-133.000000	0.827044  	0.712575  	0.446524  
-132.000000	0.807705  	0.737588  	0.443562  
-131.000000	0.788367  	0.762601  	0.440599  
-130.000000	0.769168  	0.787338  	0.438883  
-129.000000	0.750109  	0.811799  	0.438411  
-128.000000	0.731050  	0.836259  	0.437940  
-127.000000	0.711990  	0.860720  	0.437469  
-126.000000	0.692931  	0.885181  	0.436998  
-125.000000	0.673774  	0.908501  	0.436838  
-124.000000	0.654617  	0.931821  	0.436678  
-123.000000	0.635460  	0.955141  	0.436518  
-122.000000	0.616303  	0.978460  	0.436358  
-121.000000	0.597014  	1.000930  	0.436466  
-120.000000	0.577593  	1.022549  	0.436840  
-119.000000	0.558172  	1.044167  	0.437215  
-118.000000	0.538751  	1.065786  	0.437589  
-117.000000	0.519330  	1.087405  	0.437964  
-116.000000	0.499636  	1.106805  	0.438605  
-115.000000	0.479943  	1.126206  	0.439247  
-114.000000	0.460249  	1.145606  	0.439889  
-113.000000	0.440555  	1.165007  	0.440531  
-112.000000	0.420781  	1.183067  	0.441077  
-111.000000	0.400927  	1.199786  	0.441529  
-110.000000	0.381073  	1.216506  	0.441980  
-109.000000	0.361219  	1.233226  	0.442431  
-108.000000	0.341365  	1.249945  	0.442883  
-107.000000	0.321559  	1.263589  	0.443096  
-106.000000	0.301752  	1.277232  	0.443310  
-105.000000	0.281945  	1.290876  	0.443523  
-104.000000	0.262138  	1.304519  	0.443737  
-103.000000	0.242496  	1.316464  	0.443813  
-102.000000	0.223018  	1.326712  	0.443753  
-101.000000	0.203540  	1.336959  	0.443692  
-100.000000	0.184062  	1.347207  	0.443632  
-99.000000	0.164583  	1.357454  	0.443572  
-98.000000	0.145772  	1.364070  	0.442553  
-97.000000	0.126961  	1.370686  	0.441534  
-96.000000	0.108150  	1.377302  	0.440516  
-95.000000	0.089339  	1.383918  	0.439497  
-94.000000	0.071052  	1.388646  	0.438479  
-93.000000	0.053289  	1.391484  	0.437460  
-92.000000	0.035526  	1.394323  	0.436441  
-91.000000	0.017763  	1.397161  	0.435423  
-90.000000	0.000000  	1.400000  	0.434404  
-89.000000	-0.017763 	1.397161  	0.431320  
-88.000000	-0.035526 	1.394323  	0.428237  
-87.000000	-0.053289 	1.391484  	0.425153  
-86.000000	-0.071052 	1.388646  	0.422070  
-85.000000	-0.089339 	1.383918  	0.418986  
-84.000000	-0.108150 	1.377302  	0.415903  
-83.000000	-0.126961 	1.370686  	0.412819  
-82.000000	-0.145772 	1.364070  	0.409736  
-81.000000	-0.164583 	1.357454  	0.406652  
-80.000000	-0.184062 	1.347207  	0.402818  
-79.000000	-0.203540 	1.336959  	0.398985  
-78.000000	-0.223018 	1.326712  	0.395151  
-77.000000	-0.242496 	1.316464  	0.391318  
-76.000000	-0.262138 	1.304519  	0.387377  
-75.000000	-0.281945 	1.290876  	0.383329  
-74.000000	-0.301752 	1.277232  	0.379282  
-73.000000	-0.321559 	1.263589  	0.375234  
-72.000000	-0.341365 	1.249945  	0.371186  
-71.000000	-0.361219 	1.233226  	0.366990  
-70.000000	-0.381073 	1.216506  	0.362794  
-69.000000	-0.400927 	1.199786  	0.358598  
-68.000000	-0.420781 	1.183067  	0.354402  
-67.000000	-0.440555 	1.165007  	0.350147  
-66.000000	-0.460249 	1.145606  	0.345832  
-65.000000	-0.479943 	1.126206  	0.341517  
-64.000000	-0.499636 	1.106805  	0.337203  
-63.000000	-0.519330 	1.087405  	0.332888  
-62.000000	-0.538751 	1.065786  	0.328678  
-61.000000	-0.558172 	1.044167  	0.324469  
-60.000000	-0.577593 	1.022549  	0.320259  
-59.000000	-0.597014 	1.000930  	0.316049  
-58.000000	-0.616303 	0.978460  	0.311944  
-57.000000	-0.635460 	0.955141  	0.307944  
-56.000000	-0.654617 	0.931821  	0.303944  
-55.000000	-0.673774 	0.908501  	0.299944  
-54.000000	-0.692931 	0.885181  	0.295945  
-53.000000	-0.711990 	0.860720  	0.292004  
-52.000000	-0.731050 	0.836259  	0.288064  
-51.000000	-0.750109 	0.811799  	0.284124  
-50.000000	-0.769168 	0.787338  	0.280184  
-49.000000	-0.788367 	0.762601  	0.276483  
-48.000000	-0.807705 	0.737588  	0.273022  
-47.000000	-0.827044 	0.712575  	0.269560  
-46.000000	-0.846383 	0.687562  	0.266099  
-45.000000	-0.865721 	0.662550  	0.262638  
-44.000000	-0.886014 	0.637588  	0.259176  
-43.000000	-0.906307 	0.612626  	0.255715  
-42.000000	-0.926600 	0.587665  	0.252253  
-41.000000	-0.946893 	0.562703  	0.248792  
-40.000000	-0.968222 	0.538069  	0.245205  
-39.000000	-0.990588 	0.513762  	0.241493  
-38.000000	-1.012954 	0.489455  	0.237781  
-37.000000	-1.035319 	0.465147  	0.234069  
-36.000000	-1.057685 	0.440840  	0.230358  
-35.000000	-1.083956 	0.417775  	0.226614  
-34.000000	-1.110227 	0.394710  	0.222871  
-33.000000	-1.136498 	0.371646  	0.219128  
-32.000000	-1.162769 	0.348581  	0.215385  
-31.000000	-1.192536 	0.326416  	0.209221  
-30.000000	-1.225800 	0.305152  	0.200635  
-29.000000	-1.259063 	0.283888  	0.192050  
-28.000000	-1.292327 	0.262624  	0.183465  
-27.000000	-1.325590 	0.241360  	0.174880  
-26.000000	-1.265038 	0.232644  	0.163874  
-25.000000	-1.204485 	0.223927  	0.152868  
-24.000000	-1.143933 	0.215211  	0.141862  
-23.000000	-1.083381 	0.206494  	0.130856  
-22.000000	-1.022828 	0.197778  	0.119850  
-21.000000	-0.962276 	0.189061  	0.108844  
-20.000000	-0.901724 	0.180345  	0.098105  
-19.000000	-0.841171 	0.171628  	0.088054  
-18.000000	-0.780619 	0.162912  	0.078270  
-17.000000	-0.720066 	0.154195  	0.068486  
-16.000000	-0.659514 	0.145479  	0.058703  
-15.000000	-0.598962 	0.136762  	0.048919  
-14.000000	-0.538409 	0.128046  	0.039135  
-13.000000	-0.477857 	0.119329  	0.029351  
-12.000000	-0.417305 	0.110613  	0.010797  
-11.000000	-0.356752 	0.101896  	-0.019452 
-10.000000	-0.296200 	0.093180  	-0.049700 
-9.000000 	-0.155000 	0.081510  	-0.073700 
-8.000000 	-0.044600 	0.073940  	-0.087000 
-7.000000 	-0.007800 	0.066730  	-0.086900 
-6.000000 	0.002200  	0.058560  	-0.083700 
-5.000000 	0.055100  	0.051340  	-0.087700 
-4.000000 	0.149700  	0.045410  	-0.097700 
-3.000000 	0.276300  	0.040880  	-0.111600 
-2.000000 	0.421500  	0.037590  	-0.127300 
-1.000000 	0.534800  	0.038110  	-0.128200 
0.000000  	0.681100  	0.036260  	-0.141600 
1.000000  	0.825900  	0.035120  	-0.153500 
2.000000  	0.968400  	0.034430  	-0.164000 
3.000000  	1.110100  	0.033960  	-0.173900 
4.000000  	1.248500  	0.033750  	-0.182500 
5.000000  	1.373300  	0.033780  	-0.187900 
6.000000  	1.500000  	0.033840  	-0.193200 
7.000000  	1.610300  	0.034200  	-0.195200 
